event_id,event_type,total_attendees,timestamp,location,density,hour,minute,event_phase,bus_arrival,schedule_marker,temperature,rain,wind_speed,prev_density,prev_prev_density
1,normal_concert,1000,9/18/2025 6:00,entry_gate,156,6,0,pre,1,0,28,1,4.4,0,0
1,normal_concert,1000,9/18/2025 6:05,entry_gate,253,6,5,pre,0,0,28.6,0,7.1,156,0
1,normal_concert,1000,9/18/2025 6:10,entry_gate,331,6,10,pre,0,0,27.6,0,3.6,253,156
1,normal_concert,1000,9/18/2025 6:15,entry_gate,429,6,15,pre,0,0,28.2,0,5,331,253
1,normal_concert,1000,9/18/2025 6:20,entry_gate,474,6,20,pre,0,0,28.5,0,7.3,429,331
1,normal_concert,1000,9/18/2025 6:25,entry_gate,532,6,25,pre,3,0,28.8,0,4.3,474,429
1,normal_concert,1000,9/18/2025 6:30,entry_gate,597,6,30,pre,0,0,28.3,0,8.3,532,474
1,normal_concert,1000,9/18/2025 6:35,entry_gate,650,6,35,pre,0,0,28.2,0,7.4,597,532
1,normal_concert,1000,9/18/2025 6:40,entry_gate,686,6,40,pre,0,0,29.1,0,5.2,650,597
1,normal_concert,1000,9/18/2025 6:45,entry_gate,751,6,45,pre,4,0,28.2,0,6.8,686,650
1,normal_concert,1000,9/18/2025 6:50,entry_gate,775,6,50,pre,2,0,28.3,0,5.4,751,686
1,normal_concert,1000,9/18/2025 6:55,entry_gate,783,6,55,pre,2,0,28.1,0,6.3,775,751
1,normal_concert,1000,9/18/2025 7:00,entry_gate,826,7,0,pre,0,0,27.6,0,6,783,775
1,normal_concert,1000,9/18/2025 7:05,entry_gate,848,7,5,pre,0,0,29.8,0,6.7,826,783
1,normal_concert,1000,9/18/2025 7:10,entry_gate,894,7,10,pre,0,0,28.6,0,4.2,848,826
1,normal_concert,1000,9/18/2025 7:15,entry_gate,930,7,15,pre,0,0,29.1,0,4.8,894,848
1,normal_concert,1000,9/18/2025 7:20,entry_gate,967,7,20,pre,0,0,28.5,0,7.4,930,894
1,normal_concert,1000,9/18/2025 7:25,entry_gate,913,7,25,pre,1,0,29.2,1,3.7,967,930
1,normal_concert,1000,9/18/2025 7:30,entry_gate,929,7,30,pre,2,0,28.4,0,5.5,913,967
1,normal_concert,1000,9/18/2025 7:35,entry_gate,965,7,35,pre,4,0,29,0,3.8,929,913
1,normal_concert,1000,9/18/2025 7:40,entry_gate,939,7,40,pre,0,0,29.1,1,4.9,965,929
1,normal_concert,1000,9/18/2025 7:45,entry_gate,953,7,45,pre,0,0,29.2,0,7.1,939,965
1,normal_concert,1000,9/18/2025 7:50,entry_gate,966,7,50,pre,2,0,29.6,0,4.8,953,939
1,normal_concert,1000,9/18/2025 7:55,entry_gate,986,7,55,pre,1,0,29.2,0,7.8,966,953
1,normal_concert,1000,9/18/2025 8:00,entry_gate,939,8,0,entry,3,0,28.6,1,7.5,986,966
1,normal_concert,1000,9/18/2025 8:05,entry_gate,982,8,5,entry,1,0,29.1,0,5.3,939,986
1,normal_concert,1000,9/18/2025 8:10,entry_gate,980,8,10,entry,0,0,29.3,0,6.6,982,939
1,normal_concert,1000,9/18/2025 8:15,entry_gate,1005,8,15,entry,0,0,28.7,0,7.3,980,982
1,normal_concert,1000,9/18/2025 8:20,entry_gate,989,8,20,entry,5,0,29.5,0,6.8,1005,980
1,normal_concert,1000,9/18/2025 8:25,entry_gate,989,8,25,entry,1,0,29.2,0,5.9,989,1005
1,normal_concert,1000,9/18/2025 8:30,entry_gate,991,8,30,entry,1,0,28.9,0,5.5,989,989
1,normal_concert,1000,9/18/2025 8:35,entry_gate,1002,8,35,entry,2,0,29.1,0,8,991,989
1,normal_concert,1000,9/18/2025 8:40,entry_gate,999,8,40,entry,0,0,29.1,0,8.5,1002,991
1,normal_concert,1000,9/18/2025 8:45,entry_gate,1007,8,45,entry,2,0,28.7,0,4.1,999,1002
1,normal_concert,1000,9/18/2025 8:50,entry_gate,964,8,50,entry,0,0,29.4,0,8.8,1007,999
1,normal_concert,1000,9/18/2025 8:55,entry_gate,972,8,55,entry,2,0,28.9,0,5.3,964,1007
1,normal_concert,1000,9/18/2025 9:00,entry_gate,964,9,0,entry,4,0,29.5,0,6.1,972,964
1,normal_concert,1000,9/18/2025 9:05,entry_gate,948,9,5,entry,0,0,29.3,0,7.3,964,972
1,normal_concert,1000,9/18/2025 9:10,entry_gate,960,9,10,entry,5,0,29.4,0,7.3,948,964
1,normal_concert,1000,9/18/2025 9:15,entry_gate,934,9,15,entry,3,0,29.4,0,8.3,960,948
1,normal_concert,1000,9/18/2025 9:20,entry_gate,906,9,20,entry,0,0,29.6,1,7.3,934,960
1,normal_concert,1000,9/18/2025 9:25,entry_gate,858,9,25,entry,2,0,30.3,0,4.5,906,934
1,normal_concert,1000,9/18/2025 9:30,entry_gate,846,9,30,entry,0,0,30.3,0,5.8,858,906
1,normal_concert,1000,9/18/2025 9:35,entry_gate,844,9,35,entry,0,0,29.6,0,5.4,846,858
1,normal_concert,1000,9/18/2025 9:40,entry_gate,806,9,40,entry,4,0,30.5,0,5.3,844,846
1,normal_concert,1000,9/18/2025 9:45,entry_gate,796,9,45,entry,4,0,29.9,0,6.5,806,844
1,normal_concert,1000,9/18/2025 9:50,entry_gate,796,9,50,entry,0,0,30,0,7.5,796,806
1,normal_concert,1000,9/18/2025 9:55,entry_gate,797,9,55,entry,1,0,30,0,8.2,796,796
1,normal_concert,1000,9/18/2025 10:00,entry_gate,768,10,0,main,1,0,30,0,7.5,797,796
1,normal_concert,1000,9/18/2025 10:05,entry_gate,746,10,5,main,5,0,30.2,0,3.1,768,797
1,normal_concert,1000,9/18/2025 10:10,entry_gate,692,10,10,main,0,0,30.7,0,5.3,746,768
1,normal_concert,1000,9/18/2025 10:15,entry_gate,683,10,15,main,0,0,30.8,0,6.4,692,746
1,normal_concert,1000,9/18/2025 10:20,entry_gate,658,10,20,main,1,0,30.2,0,6.1,683,692
1,normal_concert,1000,9/18/2025 10:25,entry_gate,660,10,25,main,1,0,30.5,0,7.6,658,683
1,normal_concert,1000,9/18/2025 10:30,entry_gate,638,10,30,main,1,0,30.3,0,8.3,660,658
1,normal_concert,1000,9/18/2025 10:35,entry_gate,608,10,35,main,0,0,31,0,5.3,638,660
1,normal_concert,1000,9/18/2025 10:40,entry_gate,563,10,40,main,3,0,30.8,0,3.4,608,638
1,normal_concert,1000,9/18/2025 10:45,entry_gate,559,10,45,main,0,0,30.3,0,6,563,608
1,normal_concert,1000,9/18/2025 10:50,entry_gate,527,10,50,main,1,0,30.6,0,4.6,559,563
1,normal_concert,1000,9/18/2025 10:55,entry_gate,525,10,55,main,1,0,30,0,3.8,527,559
1,normal_concert,1000,9/18/2025 11:00,entry_gate,493,11,0,main,3,0,30.7,0,7.8,525,527
1,normal_concert,1000,9/18/2025 11:05,entry_gate,513,11,5,main,3,0,29.8,0,3.7,493,525
1,normal_concert,1000,9/18/2025 11:10,entry_gate,489,11,10,main,0,0,30,0,6.1,513,493
1,normal_concert,1000,9/18/2025 11:15,entry_gate,452,11,15,main,0,0,30.5,0,5,489,513
1,normal_concert,1000,9/18/2025 11:20,entry_gate,433,11,20,main,3,0,30.6,0,7.4,452,489
1,normal_concert,1000,9/18/2025 11:25,entry_gate,445,11,25,main,1,0,30.2,0,7.4,433,452
1,normal_concert,1000,9/18/2025 11:30,entry_gate,402,11,30,main,0,0,30.4,0,5.1,445,433
1,normal_concert,1000,9/18/2025 11:35,entry_gate,380,11,35,main,4,0,30.3,0,6.1,402,445
1,normal_concert,1000,9/18/2025 11:40,entry_gate,370,11,40,main,2,0,30.9,0,4.5,380,402
1,normal_concert,1000,9/18/2025 11:45,entry_gate,348,11,45,main,0,0,29.3,0,6.4,370,380
1,normal_concert,1000,9/18/2025 11:50,entry_gate,326,11,50,main,0,0,32.1,0,3.6,348,370
1,normal_concert,1000,9/18/2025 11:55,entry_gate,337,11,55,main,0,0,31.1,0,6.8,326,348
1,normal_concert,1000,9/18/2025 12:00,entry_gate,320,12,0,main,0,0,30.8,0,6.1,337,326
1,normal_concert,1000,9/18/2025 12:05,entry_gate,298,12,5,main,0,0,31.5,0,6.5,320,337
1,normal_concert,1000,9/18/2025 12:10,entry_gate,275,12,10,main,3,0,30.6,0,5.5,298,320
1,normal_concert,1000,9/18/2025 12:15,entry_gate,297,12,15,main,1,0,29.7,0,6,275,298
1,normal_concert,1000,9/18/2025 12:20,entry_gate,278,12,20,main,1,0,30.9,0,7.2,297,275
1,normal_concert,1000,9/18/2025 12:25,entry_gate,269,12,25,main,1,0,31.9,0,5.3,278,297
1,normal_concert,1000,9/18/2025 12:30,entry_gate,270,12,30,main,1,0,31.6,0,6.6,269,278
1,normal_concert,1000,9/18/2025 12:35,entry_gate,233,12,35,main,2,0,30.6,0,7.1,270,269
1,normal_concert,1000,9/18/2025 12:40,entry_gate,252,12,40,main,3,0,30.9,0,7.3,233,270
1,normal_concert,1000,9/18/2025 12:45,entry_gate,231,12,45,main,4,0,31.2,0,4.8,252,233
1,normal_concert,1000,9/18/2025 12:50,entry_gate,201,12,50,main,0,0,30.9,0,7.6,231,252
1,normal_concert,1000,9/18/2025 12:55,entry_gate,203,12,55,main,1,0,30.1,0,5.7,201,231
1,normal_concert,1000,9/18/2025 13:00,entry_gate,169,13,0,main,2,0,30.8,0,5.6,203,201
1,normal_concert,1000,9/18/2025 13:05,entry_gate,149,13,5,main,0,0,31.2,0,5.6,169,203
1,normal_concert,1000,9/18/2025 13:10,entry_gate,133,13,10,main,0,0,30.9,0,6.2,149,169
1,normal_concert,1000,9/18/2025 13:15,entry_gate,121,13,15,main,0,0,31.3,0,5.1,133,149
1,normal_concert,1000,9/18/2025 13:20,entry_gate,112,13,20,main,2,0,32.2,0,4.3,121,133
1,normal_concert,1000,9/18/2025 13:25,entry_gate,116,13,25,main,1,0,30.8,0,5.8,112,121
1,normal_concert,1000,9/18/2025 13:30,entry_gate,96,13,30,main,0,0,31.2,0,4.8,116,112
1,normal_concert,1000,9/18/2025 13:35,entry_gate,112,13,35,main,0,0,30.6,0,5.2,96,116
1,normal_concert,1000,9/18/2025 13:40,entry_gate,73,13,40,main,2,0,31.4,0,4.6,112,96
1,normal_concert,1000,9/18/2025 13:45,entry_gate,104,13,45,main,1,0,31.9,0,5.2,73,112
1,normal_concert,1000,9/18/2025 13:50,entry_gate,85,13,50,main,2,0,30.3,0,8.6,104,73
1,normal_concert,1000,9/18/2025 13:55,entry_gate,112,13,55,main,0,0,31.5,0,5.5,85,104
1,normal_concert,1000,9/18/2025 14:00,entry_gate,68,14,0,main,3,0,31.1,0,3.4,112,85
1,normal_concert,1000,9/18/2025 14:05,entry_gate,89,14,5,main,0,0,31.3,0,7.5,68,112
1,normal_concert,1000,9/18/2025 14:10,entry_gate,79,14,10,main,0,0,31.8,0,8.4,89,68
1,normal_concert,1000,9/18/2025 14:15,entry_gate,81,14,15,main,0,0,31.4,0,5.1,79,89
1,normal_concert,1000,9/18/2025 14:20,entry_gate,99,14,20,main,0,0,30.8,0,6.3,81,79
1,normal_concert,1000,9/18/2025 14:25,entry_gate,129,14,25,main,0,0,30.6,0,4.6,99,81
