event_id,event_type,total_attendees,timestamp,location,density,hour,minute,event_phase,bus_arrival,schedule_marker,temperature,rain,wind_speed,prev_density,prev_prev_density
3,normal_concert_var2,862,2025-09-18 06:00:00,entry_gate,135,6,0,pre,1,0,27.6,0,6.3,0.0,0.0
3,normal_concert_var2,862,2025-09-18 06:05:00,entry_gate,229,6,5,pre,4,0,27.3,0,5.8,135.0,0.0
3,normal_concert_var2,862,2025-09-18 06:10:00,entry_gate,295,6,10,pre,3,0,26.6,0,5.6,229.0,135.0
3,normal_concert_var2,862,2025-09-18 06:15:00,entry_gate,378,6,15,pre,3,0,26.9,0,6.7,295.0,229.0
3,normal_concert_var2,862,2025-09-18 06:20:00,entry_gate,441,6,20,pre,1,0,26.1,0,5.1,378.0,295.0
3,normal_concert_var2,862,2025-09-18 06:25:00,entry_gate,478,6,25,pre,0,0,27.2,0,6.6,441.0,378.0
3,normal_concert_var2,862,2025-09-18 06:30:00,entry_gate,523,6,30,pre,0,0,27.4,0,4.7,478.0,441.0
3,normal_concert_var2,862,2025-09-18 06:35:00,entry_gate,579,6,35,pre,2,0,28.1,0,11.1,523.0,478.0
3,normal_concert_var2,862,2025-09-18 06:40:00,entry_gate,612,6,40,pre,0,0,27.0,0,5.8,579.0,523.0
3,normal_concert_var2,862,2025-09-18 06:45:00,entry_gate,656,6,45,pre,4,0,28.0,0,4.6,612.0,579.0
3,normal_concert_var2,862,2025-09-18 06:50:00,entry_gate,673,6,50,pre,2,0,27.1,0,4.1,656.0,612.0
3,normal_concert_var2,862,2025-09-18 06:55:00,entry_gate,723,6,55,pre,0,0,27.5,0,5.7,673.0,656.0
3,normal_concert_var2,862,2025-09-18 07:00:00,entry_gate,740,7,0,pre,0,0,27.3,0,5.4,723.0,673.0
3,normal_concert_var2,862,2025-09-18 07:05:00,entry_gate,756,7,5,pre,0,0,27.7,0,4.5,740.0,723.0
3,normal_concert_var2,862,2025-09-18 07:10:00,entry_gate,767,7,10,pre,0,0,27.7,0,8.7,756.0,740.0
3,normal_concert_var2,862,2025-09-18 07:15:00,entry_gate,784,7,15,pre,0,0,28.0,0,6.8,767.0,756.0
3,normal_concert_var2,862,2025-09-18 07:20:00,entry_gate,789,7,20,pre,1,0,27.5,0,7.8,784.0,767.0
3,normal_concert_var2,862,2025-09-18 07:25:00,entry_gate,817,7,25,pre,1,0,27.7,0,3.3,789.0,784.0
3,normal_concert_var2,862,2025-09-18 07:30:00,entry_gate,820,7,30,pre,6,0,27.1,0,7.1,817.0,789.0
3,normal_concert_var2,862,2025-09-18 07:35:00,entry_gate,831,7,35,pre,1,0,28.1,0,5.5,820.0,817.0
3,normal_concert_var2,862,2025-09-18 07:40:00,entry_gate,845,7,40,pre,0,0,27.9,0,4.7,831.0,820.0
3,normal_concert_var2,862,2025-09-18 07:45:00,entry_gate,873,7,45,pre,2,0,27.8,0,5.4,845.0,831.0
3,normal_concert_var2,862,2025-09-18 07:50:00,entry_gate,877,7,50,pre,4,0,29.3,0,7.0,873.0,845.0
3,normal_concert_var2,862,2025-09-18 07:55:00,entry_gate,872,7,55,pre,1,0,27.7,0,5.3,877.0,873.0
3,normal_concert_var2,862,2025-09-18 08:00:00,entry_gate,898,8,0,entry,0,0,27.6,0,8.0,872.0,877.0
3,normal_concert_var2,862,2025-09-18 08:05:00,entry_gate,913,8,5,entry,1,0,28.5,0,7.2,898.0,872.0
3,normal_concert_var2,862,2025-09-18 08:10:00,entry_gate,916,8,10,entry,0,0,27.8,0,7.3,913.0,898.0
3,normal_concert_var2,862,2025-09-18 08:15:00,entry_gate,902,8,15,entry,2,0,27.6,0,5.7,916.0,913.0
3,normal_concert_var2,862,2025-09-18 08:20:00,entry_gate,911,8,20,entry,0,0,28.6,0,5.1,902.0,916.0
3,normal_concert_var2,862,2025-09-18 08:25:00,entry_gate,877,8,25,entry,2,0,28.2,0,3.3,911.0,902.0
3,normal_concert_var2,862,2025-09-18 08:30:00,entry_gate,860,8,30,entry,0,0,28.8,0,6.3,877.0,911.0
3,normal_concert_var2,862,2025-09-18 08:35:00,entry_gate,861,8,35,entry,1,0,28.3,0,5.3,860.0,877.0
3,normal_concert_var2,862,2025-09-18 08:40:00,entry_gate,856,8,40,entry,0,0,28.1,0,4.4,861.0,860.0
3,normal_concert_var2,862,2025-09-18 08:45:00,entry_gate,857,8,45,entry,0,0,29.2,0,3.8,856.0,861.0
