event_id,event_type,total_attendees,timestamp,location,density,hour,minute,event_phase,bus_arrival,schedule_marker,temperature,rain,wind_speed,prev_density,prev_prev_density
11,rainy_parade_var1,22281,2025-09-18 06:00:00,entry_gate,4310,6,0,pre,0,0,25.5,0,10.2,0.0,0.0
11,rainy_parade_var1,22281,2025-09-18 06:05:00,entry_gate,6113,6,5,pre,0,0,26.2,0,8.6,4310.0,0.0
11,rainy_parade_var1,22281,2025-09-18 06:10:00,entry_gate,6573,6,10,pre,29,0,25.5,1,7.3,6113.0,4310.0
11,rainy_parade_var1,22281,2025-09-18 06:15:00,entry_gate,8754,6,15,pre,15,0,26.0,1,9.1,6573.0,6113.0
11,rainy_parade_var1,22281,2025-09-18 06:20:00,entry_gate,9057,6,20,pre,15,0,25.4,1,9.6,8754.0,6573.0
11,rainy_parade_var1,22281,2025-09-18 06:25:00,entry_gate,9914,6,25,pre,21,0,25.2,1,7.5,9057.0,8754.0
11,rainy_parade_var1,22281,2025-09-18 06:30:00,entry_gate,11273,6,30,pre,0,0,26.1,0,10.1,9914.0,9057.0
11,rainy_parade_var1,22281,2025-09-18 06:35:00,entry_gate,12638,6,35,pre,0,0,25.9,0,11.4,11273.0,9914.0
11,rainy_parade_var1,22281,2025-09-18 06:40:00,entry_gate,14285,6,40,pre,0,0,24.5,0,7.8,12638.0,11273.0
11,rainy_parade_var1,22281,2025-09-18 06:45:00,entry_gate,15119,6,45,pre,0,0,26.5,0,8.4,14285.0,12638.0
11,rainy_parade_var1,22281,2025-09-18 06:50:00,entry_gate,15046,6,50,pre,0,0,25.6,1,8.6,15119.0,14285.0
11,rainy_parade_var1,22281,2025-09-18 06:55:00,entry_gate,16639,6,55,pre,0,0,25.8,0,9.5,15046.0,15119.0
11,rainy_parade_var1,22281,2025-09-18 07:00:00,entry_gate,17675,7,0,pre,0,0,26.2,0,9.4,16639.0,15046.0
11,rainy_parade_var1,22281,2025-09-18 07:05:00,entry_gate,18415,7,5,pre,51,0,26.0,0,11.3,17675.0,16639.0
11,rainy_parade_var1,22281,2025-09-18 07:10:00,entry_gate,19464,7,10,pre,0,0,26.7,0,8.5,18415.0,17675.0
11,rainy_parade_var1,22281,2025-09-18 07:15:00,entry_gate,18089,7,15,pre,19,0,26.6,1,9.9,19464.0,18415.0
11,rainy_parade_var1,22281,2025-09-18 07:20:00,entry_gate,18329,7,20,pre,0,0,26.0,1,9.7,18089.0,19464.0
11,rainy_parade_var1,22281,2025-09-18 07:25:00,entry_gate,17772,7,25,pre,0,0,25.8,1,6.8,18329.0,18089.0
11,rainy_parade_var1,22281,2025-09-18 07:30:00,entry_gate,18635,7,30,pre,40,0,25.4,0,8.6,17772.0,18329.0
11,rainy_parade_var1,22281,2025-09-18 07:35:00,entry_gate,19372,7,35,pre,70,0,25.6,0,9.9,18635.0,17772.0
11,rainy_parade_var1,22281,2025-09-18 07:40:00,entry_gate,19460,7,40,pre,0,0,25.1,0,8.5,19372.0,18635.0
11,rainy_parade_var1,22281,2025-09-18 07:45:00,entry_gate,20527,7,45,pre,20,0,26.4,0,8.1,19460.0,19372.0
11,rainy_parade_var1,22281,2025-09-18 07:50:00,entry_gate,19534,7,50,pre,0,0,26.0,1,5.4,20527.0,19460.0
11,rainy_parade_var1,22281,2025-09-18 07:55:00,entry_gate,19388,7,55,pre,0,0,26.9,1,7.4,19534.0,20527.0
11,rainy_parade_var1,22281,2025-09-18 08:00:00,entry_gate,18620,8,0,entry,11,0,26.6,1,6.7,19388.0,19534.0
11,rainy_parade_var1,22281,2025-09-18 08:05:00,entry_gate,18506,8,5,entry,0,0,26.6,1,7.2,18620.0,19388.0
11,rainy_parade_var1,22281,2025-09-18 08:10:00,entry_gate,17580,8,10,entry,0,0,26.2,1,8.1,18506.0,18620.0
11,rainy_parade_var1,22281,2025-09-18 08:15:00,entry_gate,19473,8,15,entry,21,0,26.8,0,8.9,17580.0,18506.0
11,rainy_parade_var1,22281,2025-09-18 08:20:00,entry_gate,18182,8,20,entry,14,0,27.2,1,7.5,19473.0,17580.0
11,rainy_parade_var1,22281,2025-09-18 08:25:00,entry_gate,19591,8,25,entry,48,0,26.6,0,6.6,18182.0,19473.0
11,rainy_parade_var1,22281,2025-09-18 08:30:00,entry_gate,18230,8,30,entry,0,0,27.0,1,9.7,19591.0,18182.0
11,rainy_parade_var1,22281,2025-09-18 08:35:00,entry_gate,18341,8,35,entry,14,0,27.2,1,8.2,18230.0,19591.0
11,rainy_parade_var1,22281,2025-09-18 08:40:00,entry_gate,18244,8,40,entry,29,0,27.1,1,7.2,18341.0,18230.0
11,rainy_parade_var1,22281,2025-09-18 08:45:00,entry_gate,17602,8,45,entry,47,0,26.5,1,5.7,18244.0,18341.0
11,rainy_parade_var1,22281,2025-09-18 08:50:00,entry_gate,18685,8,50,entry,44,0,26.7,0,9.3,17602.0,18244.0
11,rainy_parade_var1,22281,2025-09-18 08:55:00,entry_gate,17372,8,55,entry,39,0,27.1,1,7.9,18685.0,17602.0
11,rainy_parade_var1,22281,2025-09-18 09:00:00,entry_gate,17636,9,0,entry,61,0,27.4,0,6.2,17372.0,18685.0
11,rainy_parade_var1,22281,2025-09-18 09:05:00,entry_gate,16189,9,5,entry,0,0,26.6,1,5.5,17636.0,17372.0
11,rainy_parade_var1,22281,2025-09-18 09:10:00,entry_gate,17740,9,10,entry,0,0,27.2,0,6.9,16189.0,17636.0
11,rainy_parade_var1,22281,2025-09-18 09:15:00,entry_gate,16411,9,15,entry,29,0,26.5,1,7.6,17740.0,16189.0
11,rainy_parade_var1,22281,2025-09-18 09:20:00,entry_gate,16052,9,20,entry,6,0,27.6,1,8.8,16411.0,17740.0
11,rainy_parade_var1,22281,2025-09-18 09:25:00,entry_gate,15604,9,25,entry,9,0,27.2,1,7.1,16052.0,16411.0
11,rainy_parade_var1,22281,2025-09-18 09:30:00,entry_gate,15451,9,30,entry,0,0,26.6,1,6.6,15604.0,16052.0
11,rainy_parade_var1,22281,2025-09-18 09:35:00,entry_gate,14969,9,35,entry,0,0,27.9,1,6.3,15451.0,15604.0
11,rainy_parade_var1,22281,2025-09-18 09:40:00,entry_gate,15512,9,40,entry,0,0,26.6,1,9.8,14969.0,15451.0
11,rainy_parade_var1,22281,2025-09-18 09:45:00,entry_gate,14498,9,45,entry,0,0,26.8,1,9.6,15512.0,14969.0
11,rainy_parade_var1,22281,2025-09-18 09:50:00,entry_gate,13461,9,50,entry,26,0,27.9,1,10.0,14498.0,15512.0
11,rainy_parade_var1,22281,2025-09-18 09:55:00,entry_gate,13050,9,55,entry,28,0,26.4,1,5.9,13461.0,14498.0
11,rainy_parade_var1,22281,2025-09-18 10:00:00,entry_gate,14248,10,0,main,0,0,27.7,0,11.4,13050.0,13461.0
11,rainy_parade_var1,22281,2025-09-18 10:05:00,entry_gate,13236,10,5,main,9,0,28.0,1,7.5,14248.0,13050.0
11,rainy_parade_var1,22281,2025-09-18 10:10:00,entry_gate,13228,10,10,main,17,0,27.7,1,7.4,13236.0,14248.0
11,rainy_parade_var1,22281,2025-09-18 10:15:00,entry_gate,13861,10,15,main,0,0,27.8,0,7.3,13228.0,13236.0
11,rainy_parade_var1,22281,2025-09-18 10:20:00,entry_gate,12982,10,20,main,22,0,27.6,1,7.9,13861.0,13228.0
11,rainy_parade_var1,22281,2025-09-18 10:25:00,entry_gate,14048,10,25,main,15,0,27.2,0,8.5,12982.0,13861.0
11,rainy_parade_var1,22281,2025-09-18 10:30:00,entry_gate,13103,10,30,main,36,0,26.4,1,6.6,14048.0,12982.0
11,rainy_parade_var1,22281,2025-09-18 10:35:00,entry_gate,12652,10,35,main,32,0,27.8,1,5.7,13103.0,14048.0
11,rainy_parade_var1,22281,2025-09-18 10:40:00,entry_gate,13078,10,40,main,63,0,27.4,0,11.5,12652.0,13103.0
11,rainy_parade_var1,22281,2025-09-18 10:45:00,entry_gate,12030,10,45,main,20,0,28.4,1,8.5,13078.0,12652.0
11,rainy_parade_var1,22281,2025-09-18 10:50:00,entry_gate,11780,10,50,main,10,0,27.4,1,8.9,12030.0,13078.0
11,rainy_parade_var1,22281,2025-09-18 10:55:00,entry_gate,11975,10,55,main,0,0,28.0,0,10.7,11780.0,12030.0
11,rainy_parade_var1,22281,2025-09-18 11:00:00,entry_gate,11556,11,0,main,21,0,27.9,0,8.4,11975.0,11780.0
11,rainy_parade_var1,22281,2025-09-18 11:05:00,entry_gate,11686,11,5,main,50,0,27.2,0,6.9,11556.0,11975.0
11,rainy_parade_var1,22281,2025-09-18 11:10:00,entry_gate,10814,11,10,main,0,0,28.2,0,9.1,11686.0,11556.0
11,rainy_parade_var1,22281,2025-09-18 11:15:00,entry_gate,10771,11,15,main,0,0,27.8,0,8.5,10814.0,11686.0
11,rainy_parade_var1,22281,2025-09-18 11:20:00,entry_gate,10021,11,20,main,29,0,27.9,1,9.8,10771.0,10814.0
11,rainy_parade_var1,22281,2025-09-18 11:25:00,entry_gate,9870,11,25,main,27,0,27.2,1,8.1,10021.0,10771.0
11,rainy_parade_var1,22281,2025-09-18 11:30:00,entry_gate,9487,11,30,main,73,0,27.6,0,11.2,9870.0,10021.0
11,rainy_parade_var1,22281,2025-09-18 11:35:00,entry_gate,8621,11,35,main,28,0,28.0,1,6.9,9487.0,9870.0
11,rainy_parade_var1,22281,2025-09-18 11:40:00,entry_gate,7858,11,40,main,12,0,28.0,1,9.7,8621.0,9487.0
11,rainy_parade_var1,22281,2025-09-18 11:45:00,entry_gate,8198,11,45,main,27,0,28.4,0,7.9,7858.0,8621.0
11,rainy_parade_var1,22281,2025-09-18 11:50:00,entry_gate,7668,11,50,main,0,0,27.9,0,7.8,8198.0,7858.0
11,rainy_parade_var1,22281,2025-09-18 11:55:00,entry_gate,8180,11,55,main,25,0,28.6,0,9.6,7668.0,8198.0
11,rainy_parade_var1,22281,2025-09-18 12:00:00,entry_gate,7391,12,0,main,0,1,27.7,1,9.0,8180.0,7668.0
11,rainy_parade_var1,22281,2025-09-18 12:05:00,entry_gate,6941,12,5,main,23,0,28.2,1,7.5,7391.0,8180.0
11,rainy_parade_var1,22281,2025-09-18 12:10:00,entry_gate,6446,12,10,main,27,0,27.9,1,9.4,6941.0,7391.0
11,rainy_parade_var1,22281,2025-09-18 12:15:00,entry_gate,6519,12,15,main,39,0,27.9,1,6.2,6446.0,6941.0
11,rainy_parade_var1,22281,2025-09-18 12:20:00,entry_gate,6057,12,20,main,13,0,28.2,1,9.3,6519.0,6446.0
11,rainy_parade_var1,22281,2025-09-18 12:25:00,entry_gate,6062,12,25,main,23,0,28.6,1,9.3,6057.0,6519.0
11,rainy_parade_var1,22281,2025-09-18 12:30:00,entry_gate,5802,12,30,main,0,0,28.9,1,10.1,6062.0,6057.0
11,rainy_parade_var1,22281,2025-09-18 12:35:00,entry_gate,5389,12,35,main,32,0,28.4,0,9.6,5802.0,6062.0
11,rainy_parade_var1,22281,2025-09-18 12:40:00,entry_gate,4464,12,40,main,16,0,28.2,1,8.5,5389.0,5802.0
11,rainy_parade_var1,22281,2025-09-18 12:45:00,entry_gate,4348,12,45,main,0,0,27.9,1,11.7,4464.0,5389.0
11,rainy_parade_var1,22281,2025-09-18 12:50:00,entry_gate,3926,12,50,main,44,0,28.8,0,8.2,4348.0,4464.0
11,rainy_parade_var1,22281,2025-09-18 12:55:00,entry_gate,3990,12,55,main,63,0,28.3,0,9.7,3926.0,4348.0
11,rainy_parade_var1,22281,2025-09-18 13:00:00,entry_gate,3533,13,0,main,38,0,28.1,1,8.3,3990.0,3926.0
11,rainy_parade_var1,22281,2025-09-18 13:05:00,entry_gate,3766,13,5,main,5,0,27.7,1,7.6,3533.0,3990.0
11,rainy_parade_var1,22281,2025-09-18 13:10:00,entry_gate,2962,13,10,main,0,0,27.6,0,8.7,3766.0,3533.0
11,rainy_parade_var1,22281,2025-09-18 13:15:00,entry_gate,2772,13,15,main,12,0,28.9,1,7.4,2962.0,3766.0
11,rainy_parade_var1,22281,2025-09-18 13:20:00,entry_gate,3220,13,20,main,15,0,28.9,1,9.2,2772.0,2962.0
11,rainy_parade_var1,22281,2025-09-18 13:25:00,entry_gate,3252,13,25,main,121,0,27.7,0,6.2,3220.0,2772.0
11,rainy_parade_var1,22281,2025-09-18 13:30:00,entry_gate,2618,13,30,main,19,0,28.1,1,8.2,3252.0,3220.0
11,rainy_parade_var1,22281,2025-09-18 13:35:00,entry_gate,3004,13,35,main,65,0,28.2,0,10.7,2618.0,3252.0
11,rainy_parade_var1,22281,2025-09-18 13:40:00,entry_gate,2858,13,40,main,0,0,28.8,0,9.3,3004.0,2618.0
11,rainy_parade_var1,22281,2025-09-18 13:45:00,entry_gate,2579,13,45,main,33,0,28.1,1,8.1,2858.0,3004.0
11,rainy_parade_var1,22281,2025-09-18 13:50:00,entry_gate,2398,13,50,main,29,0,28.1,1,9.9,2579.0,2858.0
11,rainy_parade_var1,22281,2025-09-18 13:55:00,entry_gate,2221,13,55,main,43,0,28.1,1,7.0,2398.0,2579.0
11,rainy_parade_var1,22281,2025-09-18 14:00:00,entry_gate,1811,14,0,main,61,0,28.2,1,8.3,2221.0,2398.0
11,rainy_parade_var1,22281,2025-09-18 14:05:00,entry_gate,1928,14,5,main,8,0,29.7,1,10.9,1811.0,2221.0
11,rainy_parade_var1,22281,2025-09-18 14:10:00,entry_gate,1765,14,10,main,0,0,28.4,0,7.8,1928.0,1811.0
11,rainy_parade_var1,22281,2025-09-18 14:15:00,entry_gate,1912,14,15,main,0,0,28.3,1,10.3,1765.0,1928.0
11,rainy_parade_var1,22281,2025-09-18 14:20:00,entry_gate,1588,14,20,main,9,0,28.4,1,4.9,1912.0,1765.0
11,rainy_parade_var1,22281,2025-09-18 14:25:00,entry_gate,1948,14,25,main,0,0,28.3,1,6.6,1588.0,1912.0
11,rainy_parade_var1,22281,2025-09-18 14:30:00,entry_gate,2287,14,30,main,45,0,28.1,1,7.1,1948.0,1588.0
11,rainy_parade_var1,22281,2025-09-18 14:35:00,entry_gate,1860,14,35,main,20,0,27.9,1,7.8,2287.0,1948.0
11,rainy_parade_var1,22281,2025-09-18 14:40:00,entry_gate,1638,14,40,main,17,0,28.1,0,6.1,1860.0,2287.0
11,rainy_parade_var1,22281,2025-09-18 14:45:00,entry_gate,1666,14,45,main,21,0,29.3,1,7.7,1638.0,1860.0
11,rainy_parade_var1,22281,2025-09-18 14:50:00,entry_gate,1667,14,50,main,44,0,28.3,1,9.8,1666.0,1638.0
11,rainy_parade_var1,22281,2025-09-18 14:55:00,entry_gate,1610,14,55,main,10,0,28.4,1,6.5,1667.0,1666.0
11,rainy_parade_var1,22281,2025-09-18 15:00:00,entry_gate,1053,15,0,main,76,0,28.1,0,9.2,1610.0,1667.0
11,rainy_parade_var1,22281,2025-09-18 15:05:00,entry_gate,767,15,5,main,13,0,28.5,1,8.7,1053.0,1610.0
11,rainy_parade_var1,22281,2025-09-18 15:10:00,entry_gate,565,15,10,main,0,0,29.2,0,5.5,767.0,1053.0
11,rainy_parade_var1,22281,2025-09-18 15:15:00,entry_gate,795,15,15,main,9,0,28.6,1,10.8,565.0,767.0
11,rainy_parade_var1,22281,2025-09-18 15:20:00,entry_gate,242,15,20,main,0,0,28.3,1,8.3,795.0,565.0
11,rainy_parade_var1,22281,2025-09-18 15:25:00,entry_gate,378,15,25,main,0,0,28.3,1,6.5,242.0,795.0
